short_question,short_answer,tags,label,answer_length,question_length
how can sinusitis be prevented,yes and they are fun to watch or experience,['sinus infection'],-1.0,43,30
do i have kidney disease,signs of renal failure may include decreased urine output although occasionally urine output remains normal fluid retention causing swelling in your legs ankles or feet drowsiness shortness of breath fatigue confusion nausea seizures or coma in severe cases chest pain or pressure,['nails are half white and half pink'],1.0,280,24
does vinegar stop hair loss in women,u may be having a gastric duodenal ulcer get a gastroscopy done to see whats wrong its definitely not related to heart,['vinegar' 'hair loss'],-1.0,118,36
what is diarrhea,thumb sucking and the use of a pacifier can lead to an open bite where the teeth in front do not come together if a child stops early enough the bite will come back together on its own when you take your child for his orthodontic screening around 8 years old they will tell you if braces are needed,['diarrhea'],-1.0,298,16
what do my mri results indicate,all your symptoms are consistent with kidney failure i recommend you recheck youd kidney functions before exploring other possibilities as autoimmune disease or medications that cause same effects like contraceptive pills hope u could helo more good luck,['what do my mri results indicate?'],-1.0,254,31
how do i treat a food allergy,the only way to treat a true food allergy is to avoid the food in question,['food allergy'],1.0,74,29
does ambien cause weight gain,no ambien does not directly cause weight gain weight gain unless it is water retention is caused primarily by an excess of caloric intake and insufficient calorie expenditure exercise along with a plethora of metabolic reasons,['weight gain'],1.0,226,29
will vitamin e help severe hot flashes,probably not but vitamin e is safe enough to try it if you want,['hot flash'],1.0,63,38
can niaspan cause a gout flare,yes niaspan can cause a gout flare you should talk to your doctor niaspan may not be the best medication for someone who is prone to gout,['gout' 'niacin'],1.0,137,30
how do you cure chronic constipation,encourage her to do what she likes doing like listening to music cooking or any other hobby like gardening etc…,['constipation'],-1.0,111,36
what are some tips for grilling fruit,seems to be more of a well encapsulated simple cyst most probably an adenoma keep a watch on its size if it increases in size or becomes more painful then it needs agressive treatment at present get lymph node biopsy done,['fruit'],-1.0,221,37
will quit smoking stress the baby,hopefully your body responds positively to the treatment negative reactions may appear such as headaches and the temporary loss of bladder control more serious side effects of the procedure are sometimes seen and may include infection nerve damage anesthesia reactions,['quit smoking' 'stress' 'baby'],-1.0,268,33
what is acid reflux,1stly you need to stop or reduce the frequency of masturbating… u may be having a severe vitamin b and minerals deficiency eat fruits and vegetables a lot…poultry products and practice breathing and meditation drink plenty of water,['heartburn'],-1.0,231,19
what is phimosis,phimosis is a condition in which the foreskin of the penis is so tight that it cannot be pulled back retracted to reveal the head of the penis,[''],1.0,142,16
how do i get started with exercise,that would be highly unlikely unless the swollen prostate completely blocked the urine flow and no one did anything about it and the person went into kidney failure,['exercise'],-1.0,164,34
what causes orthostatic hypotension,hi so your saying your heart rate is like half of what it should be have you got that right,['low blood pressure'],-1.0,91,35
how do you treat a pulled hamstring,how do get pregrant,['hamstring'],-1.0,19,35
what is a classic migraine,a classic migraine is another term for a migraine with aura,['migraine'],1.0,59,26
is there a treatment for hyperglycemia,in case of hyperglycemia only diet and exercises are enough to control it… losing extra weight itself is a treatment as when your body loses fats it decreases the resistance to insulin so hyperglycemia fades away eat 5daily meals and brisk walk daily 45minutes,['is there a treatment for hyperglycemia.'],1.0,260,38
i stop taking the shots on sept 30,hi candy so 1 year how long it takes is a person to person thing could be 6 weeks or 8 even 12 weeks its just a waiting game but when it does give your body a chance to get back in the swing of things then try good luck,['injection'],1.0,219,34
diarrhea with blood clots,hi blood in stools or urine go see your doctor asap good luck,['diarrhea' 'blood clot'],1.0,61,25
i lost too much weight how do i stop,this medicine may be harmful if swallowed if overdose or swallowing is suspected contact your local poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center,['eating disorders' 'nutrition' 'weight loss'],-1.0,283,36
what are the symptoms of shingles,hi prednisolone taken for long periods of time causes immunosuppression and can blow up the herpes infection this depends on your basic body immunity though you need to get hormonal tests done you should consult your doctor and see if prednisolone can be replaced by some other drug thanks,['shingles'],-1.0,289,33
how do i get started with exercise,no it is not harmful to suppress it but it feels so goooood to just sneeze,['exercise'],-1.0,74,34
will penicilen cure an uti,sounds like it could be a yeast infection there are now creams available over the counter to treat that,['penicillin'],-1.0,103,26
is folliculitis a form of herpes type 1,no folliculitis is an inflammation andor infection of hair follicles it is not a form of herpes,['folliculitis' 'herpes'],1.0,95,39
can eat ice caused anemia,no this is an old wive is tale or a grandmother is tale,['anemia'],1.0,55,25
can a man be given a depro provera shot,vertigo is a inner ear infection that somehow can be caused by anxiety or panic attacks or at least that is what they told my brother he was having really bad spells from it,['injection' 'depo-provera'],-1.0,173,39
how is hypothyroidism treated,while brown and white rice contain about the same amount of calories per serving brown rice has double the amount of fiber and minerals such as magnesium zinc and potassium on the other hand enriched white rice contains more folic acid and other b vitamins because it is fortified with these nutrients,['hypothyroidism'],-1.0,301,29
what do warts look like,sun protection and regular moisturizing do not overwash and be sure to moisturize after each wash also you can apply facial antiaging moisturizers on the back of your hands at night when you will not be constantly washing your hands,['wart'],-1.0,232,23
is it okay to soak with table salt,sure but that would depend on what you are soaking salt in an open would certainly would not be pleasant our bodies are composed of salt water so putting intact skin in salt water is like swimming in the ocean,['salt'],1.0,209,34
i have heartburn headache and vomit,it seems like you are suffering peptic ulcer and or gerd get a gastroscopy done until then stop caffeine soda alcohol citrus and fatty foods a gi doctor may prescribe a proton pump inhibitor drug thanks,[''],1.0,202,35
can you get pregnant while on the pill,even when taken correctly oral contraceptives can have a 5 failure rate and women are known to miss a pill now and then,['pregnancy' 'birth control pill'],1.0,119,38
had inguinal hernia…still swollen,yes its normal the swelling will gradually go away in about 3 weeks it happens in almost all cases of operated hernias that have been long standing thanks,[''],1.0,154,33
what is type b flu,there are two major types of influenza type a and type b and there are many different strains of those major types the type b strain can produce similar symptoms but is usually considered a milder form of influenza type a influenza is the bad boy,['flu'],1.0,246,18
what does eczema herpeticum look like,eczema herpeticum is an infection caused by the herpes virus that leads to the eruption of small widespread sores on the skin,['atopic dermatitis'],1.0,125,37
how is psoriatic arthritis treated,i do not believe that these tiny magnets used to hold down your shirt collar will have any bodily effects whatsoever it will not cause tremors or cause any issues with the iron in your blood stream,['psoriatic arthritis'],-1.0,197,34
what is walking pneumonia,walking pneumonia is a contagious but mild form of pneumonia a disease of the lungs that often results from a lung infection walking pneumonia is often the result of a lung infection from a bacterial microorganism called mycoplasma pneumoniae it rarely requires hospitalization or bed rest,['pneumonia' 'walking'],1.0,289,25
what are the symptoms of colon cancer,the most common symptoms of bowel cancer are bleeding from the back passage tiredness & weakness a change in bowel habit to normally looser stools but rarely sudden constipation and occasionally abdominal pain,['colon cancer'],1.0,209,37
does the drug atenolol cause anemia,i have used atenolol on patients for decades and have not found any relationship to anemia there are numerous causes and types of anemia so it would be important for you medical provider to look for other reasons,['drug' 'anemia'],1.0,212,35
vocal cords constrict…can not breath,u are right its a vocal cord issue get a live bronchoscopy done from a ent specialist,['orl' 'vocal cords'],1.0,85,36
i have yellow bumps in my throat,hi in my opinion you have a streptococcal infection i recommend you do a strep test very quick test  to confirm u need to see your doctor for antibiotics choice which is usually penicillin or amoxicillingood luck,['yellow bumps in my throat'],1.0,212,32
what is celiac disease,hi how lucky you are you have a girl friend who can ejeculate and yes it can be white or clear it can change from time to time if she is really good at this you mat find that you may need to a towel under you for sex so times they can get really wet hope this helps you good luck,['celiac disease'],-1.0,279,22
can a fracture cause a fever,depends on the type and severity of the fracture but most of the time a fracture will not cause a fever unless you have an infection or severe inflammation there are a few hundred other things that can cause a fever though please call your doctor,['fracture' 'fever'],1.0,246,28
what do my blood test results mean,you may be having a endocrine disorder causing the deranged levels of the above investigations pituitary gland disturbances can be the cause needs to be analysed by a endocrinologist,['blood test reults'],1.0,182,34
what foods contain magnesium,magnesium is found in nuts and beans certain leafy green vegetables broccoli and spinach and potatoes smaller amounts are in whole grain foods meats seafood and milk,['magnesium' 'food'],1.0,165,28
can mucinex be abused,it can be either cnb or excisional biopsy meaning complete excision of the nodule and sending it for histopathology excisional biopsy is a major surgery and i would suggest you to prefer cnb over excisional biopsy,[''],-1.0,213,21
pain in middle of chest,not at all herpes is a virus and penicillin only treats certain bacterial infections it will not work for herpes,['pain in middle of chest'],-1.0,112,23
what can i do for gingivitis,it may be your body trying to regulate its self i would wait a week and than take another test if that comes back negative and still no sign of your period i would see your doctor for a blood test,['gingivitis'],-1.0,196,28
spirometry test…last resort,no people with medicare coverage are not eligible to buy insurance through the marketplaces and there would no reason for you to do so if you have medicare now that is what you will stick with the marketplaces are primarily for people who are currently uninsured or who buy their own insurance,['pulmonary disease internal medicine' 'spirometry'],-1.0,293,27
can a dog get poison ivy,of course gerber is a well respected company there is also nothing wrong with learning to prepare your own nutritious meals for your children based on table food,['poison ivy' 'dog'],-1.0,161,24
what is heart failure,these are common signs of anxiety and possibly a panic disorder i recommend scheduling an appointment with a therapist or psychistrist to treat the anxiety,['congestive heart failure'],-1.0,155,21
what are lymphocytes,hi i recommend that you do a stool culture my opinion having a bacterial infection can be the cause good luck,[''],-1.0,109,20
what are the symptoms of a hernia,my temperatura 152 over 87 is that good,['hernia'],-1.0,39,33
does metamucil cause weight gain,what i have just found is that loridtine taking daily for allergies is causing bladder issues that is another name for claritin,['metamucil' 'weight gain'],-1.0,127,32
does geographic tongue cause bad breath,no geographic tongue will not cause bad breath,['geographic tongue' 'bad breath'],1.0,46,39
how long does xanax stay in your system,is it prescribed by your doctor if not we advise not to consume any medication without doctor is prescription during pregnancy first three months of pregnancy are very crucial kindly avoid any medication during this stage as far as possible do not self medicate,[''],-1.0,261,39
can viruses cause throat infections,viruses are the most common cause of throat infection in children and in adults many types of viruses are known to cause throat infection and their symptoms may be difficult to distinguish from those of a bacterial infection throat infections caused by viruses usually occur in non winter months,['throat' 'virus' 'infection'],1.0,295,35
can you get shingles at 15 years old,yes of course i have diagnosed shingles in a two year old child if you have had chicken pox or the vaccine then a re exposure could potentially cause shingles,['shingles'],1.0,158,36
what is a pelvic ultrasound,a pelvic ultrasound is a test that uses sound waves to produce an electronic image of the organs of the pelvis especially the ovaries,['pelvis' 'ultrasound'],1.0,133,27
can i take amoxicillin with zantac,the two medications are compatible,['amoxicillin'],1.0,34,34
can i smoke while taking zyban,it is not physically dangerous to smoke and use zyban at the same time but you will seriously lower your chance of breaking your smoking habit if you smoke after the date you set to stop smoking,['smoking'],1.0,194,30
is it legg perthes calvé disease,yes,[''],-1.0,3,32
what is a mammogram,a mammogram is a series of specialized x rays of the breast used to detect abnormal growths or changes in the breast tissue,['mammogram'],1.0,123,19
can acupuncture help dementia,hi before you start handing out the big bucks see if you find anybody who has got help from it first or find an acupuncturist who can show you patients who have good luck,['acupuncture' 'dementia'],1.0,170,29
why is dry mouth a problem,besides causing the aggravating symptoms mentioned above dry mouth also increases a person is risk of gingivitis gum disease tooth decay and mouth infections such as thrush,['dry mouth'],1.0,172,26
what is sinusitis,sinusitis is an inflammation or infection of the membranes lining the sinuses symptoms include pain and pressure with a runny or stuffy nose,['sinus infection'],1.0,140,17
i have high igg levels,hi agree with dr masr anemia along with thyroid imbalance can cause this get a complete blood profile done along with thyroid function tests free tsh is the most important indicator thanks,[''],-1.0,188,22
is there a generic for advair,a complete blood count includes hemoglobin and hematocrit if they are low then you may have anemia a doctor may then get more blood to check your ferritin and iron levels,[''],-1.0,170,29
what is chlamydia,you should not be able to get strep while on amoxicillin since this drug is used for strep you can however get a viral sore throat or even mono while taking antibiotics,['chlamydia'],-1.0,168,17
how i loose my waight,hi irritable bowel syndrome associated with stress seems to be the root cause you have been already making changes in your diet and its a welcome change take pre pro biotic tablets green leafy veggies and fruits avoid junk food yoga and meditation can help thanks,"['sexual health' 'atherosclerosis' 'body mass index' 'exercise' 'diet'
 'diet weight loss' 'thyroid health' 'weight loss']",-1.0,263,21
im breast feeding can i smoke marijuana,why take the chance i found this article very informative <link>,['smoking' 'marijuana'],1.0,64,39
how is anemia diagnosed,anemia is usually detected or at least confirmed by a complete blood count cbc cbc test may be ordered by a physician as a part of routine general check up and screening or based on clinical signs and symptoms that may suggest anemia or other blood abnormalities,['anemia'],1.0,262,23
why does my urine smell sweet,i recommend u to do doppler it is v easy just to exlclude any serious condition…,['smell'],-1.0,80,29
suffering really bad conjunctivitis,most probably thos could be a recurrence however you should be examined for piriformis syndrome an orthopedist can make se tests to confi diagnosis i recommend physiotherapy,['conjunctivitis'],-1.0,173,35
do seamen help with facial acne,you may be talking about semen semen contains vitamin c and b12 that nourishes the skin and contributes in the reduction of acne clear clinic   <link>,['acne'],1.0,150,31
can viagra stop a period,hi yes viagra can delay the periods but it doesnt happen in all women it depends on the day when you took it before the expected period and your hormonal body structure effects would last for few days usually followed by normal periods thanks,['can viagra stop a period'],1.0,242,24
why does not medicade pay for oxycottin,because it is a highly addictive and abused drug,['oxycodone' 'medicare'],1.0,48,39
how do i stop smoking now,stopping smoking is about will power and being steadfast you can stop safely by having bupropion or nicotine patch cover initially in consult with a doctor contact an addiction clinic near you wishing you best of health thanks,['addiction' 'stop smoking'],1.0,226,25
what is a tia transient ischemic attack,a tia transient ischemic attack is a mini stroke or a warning of an impending stroke a tia takes place when blood flow to part of the brain is briefly interrupted,['transient ischemia attack' 'transient ischemic attack'],1.0,162,39
how does one get babes,hi my opinion this is piriformis syndrome physical therapy can fix your problem easly it is a condition were external rotator muscle inflamation or shortening intraps the sciatic nerve good luck,[''],-1.0,194,22
does acyclovir cause kidney problems,the research does not support acyclovir causing kidney damage but people who have kidney damage should be careful about their dosing and may need to reduce their dosing ,['kidney'],1.0,169,36
is my child overweight,a healthy weight is between the fifth percentile and the 85th percentile depending on age and sex,['corpulence'],1.0,97,22
what is migraine without aura,allow your medical provider to monitor your thyroid levels like the tsh and adjust your dosage accordingly this is not something you should be doing on your own,['migraine'],-1.0,160,29
what is a lupus flare,it is impossible you have no female organs,['lupus'],-1.0,42,21
why do antibiotics clear acne,skin bacteria tend to be the underlying culprit for smelly feet certain types of shoes especially those that do not “breathe well” causing the feet to sweat can also contribute to the disagreeable odor,['antibiotics'],-1.0,201,29
how can i treat an earache,hi if it did not affect your other ovary then you should be able to get pregnant but a thing to remember that it would only be working every other month i mean dropping an egg down like it would normally hope this is right good luck this was just off the top of my head,[''],-1.0,269,26
doctors do not know what is wrong,this is not going to hurt your prostate but it may not be considered normal for this to happen you will need to see a urologist in order to be properly examined there may be a minor surgical procedure that can fix this hidden penis issue,[''],-1.0,237,33
is kidney dialisis covered by medicare,buythebluepill com is the most reliable and one of the most affordable sources for all men is health medication needs we are supply all medicine like viagra cialis kamagra tadacip levitra etc,['dialysis' 'medicare' 'kidney'],-1.0,191,38
what can i do about head lice,you need to be examined ، and also it is obvious that you need to have a complete rest as you are having an alarming history,['head lice'],-1.0,124,29
can accupuncture relieve eye pain,it would be nice to know the cause of the eye pain before addressing ways of dealing with it see an eye specialist first,['eyes' 'pain'],1.0,120,33
i have left side pain and urinate blood,i think it is a kidney infection or stones urine analysis and a course of suitable antibiotic based on urine culture drink plenty of water usg of kidney can confirm or rule out stones,['i urinate blood'],1.0,183,39
is it possible to prevent skin warts,hi you seem to be suffering from eczemaallergy to something around you try and figure it out take anti histaminic tablets yoga and meditation will help get blood profile done to see for any hormonal variations thanks,['wart' 'skin'],-1.0,216,36
why can not psoriasis be cured,in most cases    about seven in 10 people    the cause of epilepsy is unknown in other cases epilepsy can have a symptomatic cause such as birth injuries head injuries and infectious diseases including meningitis and encephalitis it can also be caused by genetic conditions and stroke,['psoriasis'],-1.0,284,30
took depo shot when will bleeding stop,hi the effect of deposhot will remain atleast for 3  weeks at present to stop the bleeding take tablet pause maintain hydration take hematinics thanks,['took depo shot' 'when will bleeding stop'],1.0,150,38
what is the treatment for prostatitis,hi i would get to your doctor or er asap you should not be putting out that amount of urine you could be damaging your body do hope this helps good luck,['prostatitis'],-1.0,152,37
can amoxicillin turn a tongue black,a black tongue is not a side effect of taking amoxicillin,['amoxicillin' 'tongue'],1.0,57,35
how can lice be prevented,round spermatid nucleus injection rosni is an experimental technique in which immature cells are removed from the testicle and the nucleus which contains all the genetic material is injected into an egg,['lice'],-1.0,202,25
can a mother with autism raise a child,hi it is possible for a mother suffering from autism to raise a child only in mild cases but in severe cases a woman may not be fit physically and mentally to do it,['autism'],1.0,164,38
when is the flu no longer contagious,there is nothing to worry about you can get back from vacations and then consult a doctor,['flu'],-1.0,89,36
how is hypothyroidism diagnosed,your doctor will ask you about your symptoms and do a physical exam then he or she will order blood tests to see how much thyroid hormone your body is making in addition your doctor may discover that you have hyperthyroidism while doing a test for another reason,['hypothyroidism'],1.0,262,31
soreness in both my thighs and knees,yes a baby of three months of age with a fevercough should be carefully examined either at the er or by his pediatrician,['leg soreness'],-1.0,120,36
does exercise really boost immunity,i would have to examine them in order to know for sure what is causing it,['exercise'],-1.0,73,35
can i drink glucose during pregnancy,your symptoms are likely ibs and gerd may be complicated with stomach ulcer an upper gi endoscopy can show it avoid caffeinated beverages and other irritants,['drinking' 'pregnancy'],-1.0,157,36
how do you break a fever in a toddler,hi not a good time to stress over it go get it done asap and just wait for the results do just stay calm and do not get stressed up stress will bring more problems ok be calm good luck,['fracture' 'fever' 'toddler'],-1.0,184,37
can bedbugs cause scabies,no bedbugs do not cause scabies they are two different infestations scabies is a human parasite so you get them from affected humans scabies lives under the skin bedbugs as their name implies live in beds and mattresses they also use humans as a food source,['bedbug' 'scabies'],1.0,257,25
what is anemia,migraine headaches tend to occur in members of the same family both men and women get migraine but it is more common in women,['anemia'],-1.0,125,14
is prenatal ultrasound safe,studies have shown ultrasound is not hazardous there are no harmful side effects to you or your baby in addition ultrasound does not use radiation as x ray tests do,['ultrasound'],1.0,164,27
does intelence cure hiv or aids,hi well you are in a mix just get to your doctor and get a test done there it would be the only way for to go good luck,['aids' 'hiv'],-1.0,119,31
what does athlete is foot look like,yes you can have a tb test done,"['""athletes foot""']",-1.0,31,35
are migraines hereditary,yes migraines have a tendency to run in families four out of five migraine sufferers have a family history of migraines if one parent has a history of migraines the child has a 50 chance of developing migraines and if both parents have a history of migraines the risk jumps to 75,['migraine'],1.0,279,24
i have a rash on my face,in my opinion this is a patch of atopic dermatitis you can use topical steroids to treat it good luck,['rash on my face'],1.0,101,24
i had facial paralysis 6 years ago,hi physical therapy in the form of manual right side facial soft tissue stretching along with facial muscles strengthening can fix the constriction which will result in headache relief good luck,['i had facial paralysis'],1.0,194,34
my hair is falling… please help,hi… it seems that you are going through hormonal changes in your body that usually are the reason for hair loss in this age try taking vitamin e tablets and apply skin nourishing oils to the scalpe daily thanks,['hair loss'],1.0,210,31
i am a dancer my ankle gets weak,she seems to be in deep sleepcomatose needs immediate admission into a icu care hospital needs proper neurological assessment form a neurologist anticipate bedsores and take proper precautions,['weak ankles'],-1.0,192,32
i have gbs should i have the flu shot,it can for me the best way is to bend over and drink from the opposite side of a water glass something in the way it makes me contort myself helps the hiccup leave right away,['flu'],-1.0,174,37
i just overdosed,put your head down toward your knees and apply an ice pack to the back of your neck,['medical overdose'],-1.0,83,16
is oily skin an early sign of pregnancy,it is a sign of hormonal changes whether the changes are due to pregnancy well only a test can answer that question for you,['pregnancy' 'skin'],1.0,123,39
are ear infections contagious,hi this man o man oil could work but some vitamin e oil mixed with some baby oil and olive oil could be a far cheaper way to go but the cortisone cream will thin your skin with luck now your off it things should get better hope this helps you good luck,[''],-1.0,252,29
will dentures change how i speak,if it was everyone would be using it unfortunately it is not a cure but you can do it if you want,[''],-1.0,97,32
what is colic,colic is when a baby for no apparent reason is really fussy and cries for hours at a time often at the same time every day some parents call it their baby is witching hour because they just do not know why their baby cries at this time,['colic'],1.0,235,13
can i take tylenol when having chemo,an urgent mri is v important do you feel any headache dizziness blurred vision double vision nausea projectile vomiting confusion syncope or loss pelt consciousness problem in speech,['chemotherapy' 'acetaminophen'],-1.0,182,36
what causes gastroenteritis,no unfortunately while there may be available herpetic assay levels this will not indicate the duration of the virus in you body,['gastroenteritis'],-1.0,128,27
what does genital herpes look like,hi it does not look serious as your investigations are all normal continue with the management as advised by your physician hope you get well soon regards,['genital herpes'],-1.0,154,34
fulkerson osteotomy…is it infected,thank you my orthopedic said that it wasnt infected and i had a feeling it was i greatly appreciate it,[''],1.0,102,34
do ceiling fans cause bell is palsy,not at all bell is palsy is usually caused by a virus even the herpes virus a ceiling fan will not cause illness,"['""bells palsy""']",1.0,112,35
what is atherosclerosis,yes it is very serious go to the doctor asap you may need to have your leg amputated,['atherosclerosis'],-1.0,84,23
is flossing safe for kids under 3,only if flossing is done by a parent floss like many other stringy items should not be left with small children,[''],1.0,111,33
what is congestive heart failure,head and shoulders is primarily zinc you may want to try a shampoo that contains selenium selsun blue make sure to read the label since some do not contain the selenium you can also ask your medical provider for a prescription selenium containing shampoo to use,['congestive heart failure'],-1.0,261,32
how to treat open cut on a 1 year old,hi sperm in your mouth is the wrong environment for it most of would die but then you swallowed it so you should be ok but if you do keep doing this then you will get pregnant so time to think bc like the pill just remember safe sex is the best sex ok good luck,[''],-1.0,261,37
what is a cold,hi having a second period would be a sign that your just having a second period your find its just an odd thing that can happen if you get this next cycle then i would get off to your gyno and get some tests done hope this helps you good luck,['congestive heart failure' 'coldness'],-1.0,242,14
can i use famvir for ear infections,no famvir is only for herpes infections it will not help a normal ear infection caused by bacteria in most cases,['ears'],1.0,112,35
can stress cause ulcerative colitis,there is no evidence that stress causes uc but being under stress can contribute to symptoms people under stress can also get run down and this too can aggravate the symptoms,['stress' 'ulcerative colitis'],1.0,174,35
does fuzeon cure hiv and aids,fuzeon does not cure hiv infection or aids people taking fuzeon may still get opportunistic infections or other conditions that can happen with hiv infection for these reasons it is very important that you remain under the care of your healthcare provider while taking fuzeon,['aids' 'hiv'],1.0,275,29
how does emphysema happen,it is not normal to have blood coming from your penis so i would suggest that you see your medical provider you can ask for a confidential visit so that you can be properly examined this blood may or may not have anything to do with your normal masturbation habits,['emphysema'],-1.0,264,25
what causes osteoarthritis,yes most definitely i have diagnosed children with mono much younger than age 7 just because it is called the kissing disease does not mean she acquired it in this manner,['osteoarthritis'],-1.0,170,26
is cirrhosis contagious,he has to have a semen analysis ordered by his medical provider,['cirrhosis'],-1.0,63,23
how is acid reflux disease diagnosed,in her age it is mainly congenital but i need you to check her for thyroiditis u said enlaged tonsils  may be it is not tonsilitis could be thyroiditis from an infection if it is not then i am sorry to say it is congenital good luck,['heartburn'],-1.0,232,36
how long can you keep eye drops,there are hundreds of different eye drops so you will need to follow the expiration dates on the bottle or just get new drops if you know your eye drops are old,['eyes'],1.0,160,31
leg falls asleep throughout the day,typical childhood vaccines do not have peanut allergen in them i am cautious with the flu vaccine for those that are egg allergic but most of the time the vaccine can still be given in that case as well,['leg falls asleep'],-1.0,202,35
what causes cystic fibrosis,this could be side effects of amiodarone metoprolool as they cause dizziness and hypotension so i recommend revising your doctor for a change in the dose,['cystic fibrosis'],-1.0,153,27
who gets osteoarthritis,what will a patient expect from an umbilical hernia surgery what is the recovery time and expected down time outpatient or inpatient,['osteoarthritis'],-1.0,132,23
what is a migraine with aura,no gout is not caused by trauma but by uric acid crystals forming in the distal joints,['migraine'],-1.0,86,28
my children have got measles,hi if you think it is not measles then the only other possibility is coxsackievirus a16 you can ask your doctor to check this possibility good luck,['children have got measles'],1.0,147,28
what causes high blood pressure,hi well the only real way is for you to either do an hpt or go see your doctor and get tested there best choice but having unprotected sex there will always be the chance of getting pregnant good luck,['high blood pressure'],-1.0,200,31
what is heartburn,i do not think it is contraindicated or not preferred if u mean to be at risk of infective endocarditis for example… as it is not an invasive procedure…,['heartburn'],-1.0,152,17
is ezcema an autoimmune disease,true eczema atopic dermatitis is a genetically linked dry skin condition it is not an autoimmune disorder although some autoimmune disorders can have dry skin as part of their symptom array,['autoimmune disease'],1.0,189,31
will eating yogurt help oral thrush,not really but mild oral thrush in a baby or person who is not immunocompromised will often self resolve without any treatment at all or you can call the medical provider for a proper prescription,['yogurt' 'thrush'],1.0,196,35
who is affected by arthritis,possibilities are alzheimer is disease inner ear infection and sinusitis also reduced kidney function can cause most of your symptoms good luck,['arthritis'],-1.0,143,28
do i have cirrhosis or a fatty liver,that would be an early stage cirrhosis and your gall bladder needs to be checked get a new us over the gb and liver avoid fatty food and alcohol maintain a healthy low fat diet,['cirrhosis or a fatty liver'],1.0,176,36
how can sleeping help me lose weight,does not seems like any seizures there could be an anxiety sign nothing to worry start doing meditation and yoga asap,['diet'],-1.0,117,36
can a cat predict i am pregnant,only if the cat is a trained and licensed medical professional or laboratory technician,['cats' 'pregnancy'],1.0,87,31
what really works on wrinkles,your first treatment is prevention avoid direct sunlight the majority of premature aging is attributed to sun damage use a sun block exfoliate hydrate and nourish your skin with compounds that contain vitamins a c and e,[''],1.0,219,29
what if blood sugar level is 471mg dl,that is a potentially serious blood sugar level consistent with diabetes this person should be under the care of a medical professional so this can be properly treated,['blood sugar'],1.0,167,37
what is genital herpes,i would ask the dentist that performed the procedure but it is most likely a sedating filling to ease the pain in a badly decayed tooth,['genital herpes'],-1.0,135,22
what can i expect after heart surgery,yes it is possible i would try a test again i have had false negative results from using cheaper pregnancy tests i recommend first response or clear blue and easy it could just be a late period too,['heart surgery'],-1.0,197,37
i have a tumor on my scalp,gallstones never made me personally more tired but tiredness is a symptom of hemochromatosis which can also give you abdomen pain,['scalp tumor'],-1.0,129,26
how to drain fluid from my ears,possible,['ears' 'drainage'],-1.0,8,31
can i take tylenol pm with tamiflu,the two drugs are chemically compatible so unless you have another medical reason why you cannot take either one separately you can take them together,[''],1.0,150,34
crooked stiff neck and slight neck pain,it seems your alignment of vertebeae are mildly scoliotic and there may be arthritic changes in the upper cervical vertebrae that needs to be confirmed when you send the lateral view your age sex history of injuries or falling please reply for these questions so i can help you…,['stiff neck and slight pain'],1.0,278,39
i have a mole on the back of my neck,com if it is the same size long time ago without change in size and texture there us no need to worry… the recent problem that caused itching in your neck may be the cause of your increased awareness about it keep it monitored then and observe any change in its size if so get a dermatologist consult,['i have a mole on the back of my neck'],1.0,300,36
does medicare cover campral,you may want to start with your medical provider so that you can be treated if there is a ear related problem however seeing a dentist first would be okay too dental and jaw issues like tmj disorders can cause pain to be referred to the ear,['medicare'],-1.0,240,27
can hot flashes cause laryngitis,there are no medical associations between hot flashes and laryngitis,['hot flash' 'laryngitis'],1.0,68,32
what to eat with a kidney infection,lubricate dry tissue and surrounding area,['kidney infection'],-1.0,41,35
i can not breathe… choking,hi it may be due to alcohol intoxication causing hypoxia consult a doctor and get an iv dextrose infusion along with bronchdilators and oxygen to make you breathe easily thanks,['choking'],1.0,176,26
what is postpartum depression,yes it is possible to still be still be possible,['postpartum depression'],-1.0,48,29
is cancer a bacteria or virus,ecg brain mri and echo should be done asapwhat medications is he taking tell me more about the affected part in his body in the previous stroke want happened and how did you manage it plz,['cancer' 'bacterium' 'virus'],-1.0,187,29
woke up with my upper left arm in pain,not connected scoliosis does cause blood in the sputum but it would be in your friend is best interest to see a medical provider to have a proper examination to find the sourcecause of this blood,['upper left arm in pain'],-1.0,195,38
can you pass smelly gas and not know it,yes but everyone close to you will know it,['flatulence'],1.0,42,39
can you get pregnant by giveing head,no a prostate massage will not prevent prostate cancer,['pregnancy' 'head'],-1.0,54,36
false positive pregnancy test,numbness in the infected finger can occur due to nerve inflammation in the affected area get the pus drained out followed by antibiotics and daily dressings numbness will gradually go away,['pregnancy test'],-1.0,188,29
is i pill safe while breastfeeding,yes if you want to use it as an emergency contraceptive then it is safe during breastfeeding you can take but the best contraceptive during breastfeeding is copper t insertion intrauterine contraceptive device for further information consult an obstetrician and gynaecologist online   > <link>,['breast feeding'],1.0,293,34
what are all these knots in my body,you do realize that we do not know anything about you or have any way of examining your knots to be able to address your question my suggestion is for you to see a medical provider    someone who can examine you,[''],1.0,211,35
what can you do about acne on your own,drink more water you are probably dehydrated,['acne'],-1.0,44,38
